year,state,population_million,education_million,welfare_million,crime_rate,unemployment_rate,divorce_rate_per_1000_people,homeownership_rate,minimum_wage_effective,CPI_Average,inflation_rate,avg_wage_index,poverty_rate
1970,National,203.30200000000002,56456.0,18738.8,363.5,,3.5,,1.3823529411764697,38.79999999999997,5.8,6186.24,17.18
1971,National,205.515,63469.0,27364.3,396.0,,3.75,,1.3823529411764697,40.5,4.3,6497.08,17.05
1972,National,207.752,71351.0,30594.3,401.0,,4.0,,1.6235294117647052,41.799999999999976,3.3,7133.8,16.12
1973,National,210.013,75849.0,28944.9,417.4,,4.25,,1.6235294117647052,44.400000000000034,6.2,7580.16,15.13
1974,National,212.299,81440.0,34816.4,461.1,,4.5,,1.6235294117647052,49.30000000000001,11.1,8030.76,15.86
1975,National,214.609,95842.0,55205.4,487.8,,4.75,,1.6235294117647052,53.80000000000002,9.1,8630.92,14.71
1976,National,216.945,107290.0,72155.2,467.8,7.786562135616468,5.0,,2.226666666666668,56.900000000000055,5.7,9226.48,14.1
1977,National,219.30700000000002,115893.0,83417.8,475.9,7.132504802090629,5.1,,2.226666666666668,60.599999999999945,6.5,9779.44,13.92
1978,National,221.69400000000002,128541.0,81037.9,497.8,6.13419821261611,5.2,,2.226666666666668,65.19999999999995,7.6,10556.03,13.43
1979,National,224.107,140169.0,83691.3,548.9,5.9238266892661,5.3,,2.910000000000003,72.59999999999995,11.3,11479.46,13.33
1980,National,226.546,153686.0,108251.7,596.6,7.255716835664719,5.2,,3.11019607843137,82.40000000000005,13.5,12513.46,14.65
1981,National,228.67,166439.0,129079.3,594.3,7.74128083040972,5.1444,,3.360196078431369,90.9,10.3,13773.1,15.77
1982,National,230.815,170018.0,137931.7,571.1,9.86085724560746,5.0889,,3.360196078431369,96.5,6.1,14531.34,16.54
1983,National,232.979,179305.0,159777.2,537.7,9.78047265210102,5.0333,,3.360196078431369,99.60000000000002,3.2,15239.24,16.78
1984,National,235.16400000000002,191925.0,143711.9,539.2,7.63741221200804,4.9778,64.5,3.360196078431369,103.89999999999998,4.3,16135.07,16.04
1985,National,237.36900000000003,209227.0,165441.6,556.6,7.30410922644289,4.9222,63.9,3.360196078431369,107.60000000000004,3.5,16822.51,15.72
1986,National,239.595,227705.0,159050.4,620.1,7.09687179467939,4.8667,63.8,3.360196078431369,109.60000000000004,1.9,17321.82,15.2
1987,National,241.842,242694.0,167313.2,609.7,6.29718894698344,4.8111,64.0,3.360196078431369,113.60000000000007,3.7,18426.51,14.48
1988,National,244.11,260024.0,176861.6,637.2,5.58916115687531,4.7556,63.8,3.4098039215686256,118.30000000000011,4.1,19334.04,14.81
1989,National,246.399,284252.5,179545.5,663.1,5.340557846186631,4.7,63.9,3.4098039215686256,124.0,4.8,20099.55,14.3
1990,National,248.71,309002.0,205081.2,731.8,5.67262840227244,4.7,63.9,3.4098039215686256,130.6999999999999,5.4,21027.98,14.84
1991,National,251.80200000000002,332945.0,250929.7,758.1,6.927371833318759,4.6429,64.1,3.8852941176470606,136.1999999999999,4.2,21811.6,15.24
1992,National,254.933,353841.6,203808.8,757.5,7.60743686106412,4.5857,64.1,4.281764705882353,140.3000000000001,3.0,22935.42,15.79
1993,National,258.103,375314.5,216622.1,746.8,7.02551529583226,4.5286,64.0,4.281764705882353,144.5,3.0,23132.67,16.79
1994,National,261.312,380451.1,211350.9,713.6,6.16880545955019,4.4714,64.0,4.317058823529412,148.19999999999987,2.6,23753.53,15.68
1995,National,264.561,412780.3,222825.7,684.5,5.64388515229746,4.4143,64.7,4.317058823529412,152.39999999999986,2.8,24705.66,14.21
1996,National,267.85,431216.6,222299.4,636.6,5.457434446393711,4.3571,65.4,4.376862745098039,156.89999999999986,2.9,25913.9,14.14
1997,National,271.18,452465.7,220984.0,611.0,4.99627586611836,4.3,65.7,4.840588235294118,160.5,2.3,27426.0,13.58
1998,National,274.552,485550.0,210825.1,566.4,4.55010833226551,4.2,66.3,5.202549019607846,163.0,1.6,28861.44,13.02
1999,National,277.966,517828.5,216546.7,523.0,4.2530368613342,4.1,66.8,5.202549019607846,166.60000000000014,2.2,30469.84,12.4
2000,National,282.172,556950.5,220691.0,506.5,4.02098505625783,4.0,67.4,5.313725490196081,172.19999999999993,3.4,32154.82,12.39
2001,National,285.082,596915.5,249071.9,504.5,4.78668949290891,4.0,67.8,5.376862745098042,177.10000000000014,2.8,32921.92,13.23
