homeownership_rate,state,year
7.79,National,1976
7.13,National,1977
6.13,National,1978
5.92,National,1979
7.26,National,1980
7.74,National,1981
9.86,National,1982
9.78,National,1983
7.64,National,1984
7.30,National,1985
7.10,National,1986
6.30,National,1987
5.59,National,1988
5.34,National,1989
5.67,National,1990
6.93,National,1991
7.61,National,1992
7.03,National,1993
6.17,National,1994
5.64,National,1995
5.46,National,1996
5.00,National,1997
4.55,National,1998
4.25,National,1999
4.02,National,2000
4.79,National,2001
5.85,National,2002
6.06,National,2003
5.60,National,2004
5.14,National,2005
4.69,National,2006
4.68,National,2007
5.85,National,2008
9.38,National,2009
9.77,National,2010
9.07,National,2011
8.17,National,2012
7.49,National,2013
6.26,National,2014
5.37,National,2015
4.93,National,2016
4.40,National,2017
3.94,National,2018
3.72,National,2019
8.13,National,2020
69.50,Missouri,1984
69.20,Missouri,1985
67.80,Missouri,1986
66.10,Missouri,1987
64.80,Missouri,1988
63.70,Missouri,1989
64.00,Missouri,1990
64.20,Missouri,1991
65.20,Missouri,1992
66.40,Missouri,1993
68.40,Missouri,1994
69.40,Missouri,1995
70.20,Missouri,1996
70.50,Missouri,1997
70.70,Missouri,1998
72.90,Missouri,1999
74.20,Missouri,2000
74.00,Missouri,2001
74.80,Missouri,2002
74.00,Missouri,2003
72.40,Missouri,2004
72.30,Missouri,2005
71.90,Missouri,2006
70.40,Missouri,2007
71.40,Missouri,2008
72.00,Missouri,2009
71.20,Missouri,2010
71.10,Missouri,2011
70.80,Missouri,2012
71.30,Missouri,2013
70.50,Missouri,2014
68.50,Missouri,2015
66.70,Missouri,2016
67.60,Missouri,2017
69.70,Missouri,2018
69.10,Missouri,2019
71.10,Missouri,2020
66.90,Vermont,1984
69.50,Vermont,1985
69.80,Vermont,1986
70.50,Vermont,1987
68.70,Vermont,1988
69.70,Vermont,1989
72.60,Vermont,1990
70.80,Vermont,1991
70.80,Vermont,1992
68.50,Vermont,1993
69.40,Vermont,1994
70.40,Vermont,1995
70.30,Vermont,1996
69.10,Vermont,1997
69.10,Vermont,1998
69.10,Vermont,1999
68.70,Vermont,2000
69.80,Vermont,2001
70.30,Vermont,2002
71.40,Vermont,2003
72.00,Vermont,2004
74.20,Vermont,2005
74.00,Vermont,2006
73.70,Vermont,2007
72.80,Vermont,2008
74.30,Vermont,2009
73.60,Vermont,2010
74.60,Vermont,2011
73.40,Vermont,2012
73.00,Vermont,2013
73.50,Vermont,2014
71.80,Vermont,2015
71.30,Vermont,2016
71.10,Vermont,2017
71.40,Vermont,2018
70.90,Vermont,2019
73.10,Vermont,2020
67.80,Connecticut,1984
69.00,Connecticut,1985
68.10,Connecticut,1986
67.00,Connecticut,1987
66.50,Connecticut,1988
66.40,Connecticut,1989
67.90,Connecticut,1990
65.50,Connecticut,1991
66.10,Connecticut,1992
64.50,Connecticut,1993
63.80,Connecticut,1994
68.20,Connecticut,1995
69.00,Connecticut,1996
68.10,Connecticut,1997
69.30,Connecticut,1998
69.10,Connecticut,1999
70.00,Connecticut,2000
71.80,Connecticut,2001
71.50,Connecticut,2002
73.00,Connecticut,2003
71.70,Connecticut,2004
70.50,Connecticut,2005
71.10,Connecticut,2006
70.30,Connecticut,2007
70.70,Connecticut,2008
70.50,Connecticut,2009
70.80,Connecticut,2010
70.60,Connecticut,2011
68.80,Connecticut,2012
68.50,Connecticut,2013
67.40,Connecticut,2014
66.50,Connecticut,2015
64.20,Connecticut,2016
66.10,Connecticut,2017
65.30,Connecticut,2018
64.30,Connecticut,2019
66.90,Connecticut,2020
65.70,Washington,1984
66.80,Washington,1985
65.10,Washington,1986
64.40,Washington,1987
64.20,Washington,1988
64.20,Washington,1989
61.80,Washington,1990
61.80,Washington,1991
62.50,Washington,1992
63.10,Washington,1993
62.40,Washington,1994
61.60,Washington,1995
63.10,Washington,1996
62.90,Washington,1997
64.90,Washington,1998
64.80,Washington,1999
63.60,Washington,2000
66.40,Washington,2001
66.90,Washington,2002
65.90,Washington,2003
66.00,Washington,2004
67.60,Washington,2005
66.70,Washington,2006
66.80,Washington,2007
66.20,Washington,2008
65.50,Washington,2009
64.40,Washington,2010
64.20,Washington,2011
63.50,Washington,2012
62.70,Washington,2013
63.60,Washington,2014
62.60,Washington,2015
61.60,Washington,2016
63.60,Washington,2017
64.90,Washington,2018
63.80,Washington,2019
64.10,Washington,2020
53.70,California,1984
54.20,California,1985
53.80,California,1986
54.30,California,1987
54.40,California,1988
53.60,California,1989
53.80,California,1990
54.50,California,1991
55.30,California,1992
56.00,California,1993
55.50,California,1994
55.40,California,1995
55.00,California,1996
55.70,California,1997
56.00,California,1998
55.70,California,1999
57.10,California,2000
58.20,California,2001
57.70,California,2002
58.90,California,2003
59.70,California,2004
59.70,California,2005
60.20,California,2006
58.30,California,2007
57.50,California,2008
57.00,California,2009
56.10,California,2010
55.30,California,2011
54.50,California,2012
54.30,California,2013
54.20,California,2014
54.30,California,2015
53.80,California,2016
54.40,California,2017
55.10,California,2018
54.80,California,2019
55.90,California,2020
72.60,Minnesota,1984
70.00,Minnesota,1985
68.00,Minnesota,1986
68.90,Minnesota,1987
69.10,Minnesota,1988
68.30,Minnesota,1989
68.00,Minnesota,1990
68.90,Minnesota,1991
66.70,Minnesota,1992
65.80,Minnesota,1993
68.90,Minnesota,1994
73.30,Minnesota,1995
75.40,Minnesota,1996
75.40,Minnesota,1997
75.40,Minnesota,1998
76.10,Minnesota,1999
76.10,Minnesota,2000
76.10,Minnesota,2001
77.30,Minnesota,2002
77.20,Minnesota,2003
76.40,Minnesota,2004
76.50,Minnesota,2005
75.60,Minnesota,2006
73.50,Minnesota,2007
73.10,Minnesota,2008
72.90,Minnesota,2009
72.60,Minnesota,2010
71.30,Minnesota,2011
72.00,Minnesota,2012
73.40,Minnesota,2013
71.40,Minnesota,2014
70.10,Minnesota,2015
72.40,Minnesota,2016
72.70,Minnesota,2017
69.80,Minnesota,2018
71.40,Minnesota,2019
74.50,Minnesota,2020
70.10,North Dakota,1984
69.90,North Dakota,1985
69.20,North Dakota,1986
68.90,North Dakota,1987
67.70,North Dakota,1988
67.10,North Dakota,1989
67.20,North Dakota,1990
65.40,North Dakota,1991
63.70,North Dakota,1992
62.70,North Dakota,1993
63.30,North Dakota,1994
67.30,North Dakota,1995
68.20,North Dakota,1996
68.10,North Dakota,1997
68.00,North Dakota,1998
70.10,North Dakota,1999
70.70,North Dakota,2000
71.00,North Dakota,2001
69.40,North Dakota,2002
68.70,North Dakota,2003
70.00,North Dakota,2004
68.50,North Dakota,2005
68.30,North Dakota,2006
66.00,North Dakota,2007
66.60,North Dakota,2008
65.70,North Dakota,2009
67.10,North Dakota,2010
68.30,North Dakota,2011
66.20,North Dakota,2012
68.00,North Dakota,2013
64.50,North Dakota,2014
61.80,North Dakota,2015
