year,poverty_rate,state
1967,20.1,Indiana
1967,17.3,New Jersey
1967,22,Connecticut
1967,28.4,Texas
1967,33,Florida
1967,19.4,California
1967,18.9,New York
1967,19.8,Pennsylvania
1967,18.56,National
1967,19.5,Ohio
1967,20.2,Illinois
1968,30.8,Florida
1968,18.8,Pennsylvania
1968,19.3,California
1968,18.4,New York
1968,19.3,Illinois
1968,17.2,National
1968,19.9,Connecticut
1968,17.3,New Jersey
1968,18.8,Ohio
1968,18.8,Indiana
1968,27.9,Texas
1969,19.1,Connecticut
1969,28.6,Florida
1969,17.8,Pennsylvania
1969,27.5,Texas
1969,18,Ohio
1969,18.6,Illinois
1969,19.7,California
1969,17,New Jersey
1969,17.9,New York
1969,16.78,National
1969,18.1,Indiana
1970,19.9,California
1970,26.4,Florida
1970,16.8,Ohio
1970,26.8,Texas
1970,16.9,Indiana
1970,17.5,Illinois
1970,16.9,Pennsylvania
1970,17.18,National
1970,17.5,New York
1970,16.3,New Jersey
1970,17.6,Connecticut
1971,26.1,Texas
1971,15.9,Indiana
1971,15.3,Pennsylvania
1971,19.9,California
1971,16,New Jersey
1971,17.05,National
1971,16.6,Illinois
1971,24.7,Florida
1971,15.8,Ohio
1971,15.5,Connecticut
1971,17.1,New York
1972,15.2,Connecticut
1972,26,Texas
1972,15.2,Ohio
1972,24.6,Florida
1972,15.5,Indiana
1972,16.12,National
1972,17.2,New York
1972,14.8,Pennsylvania
1972,15.7,New Jersey
1972,16.3,Illinois
1972,20.4,California
1973,20.5,California
1973,15.7,Illinois
1973,25,Texas
1973,24.2,Florida
1973,15.4,Indiana
1973,15.13,National
1973,17.4,New York
1973,15.4,New Jersey
1973,14.3,Pennsylvania
1973,14.8,Ohio
1973,14.4,Connecticut
1974,15.7,Illinois
1974,14.4,Pennsylvania
1974,24.4,Texas
1974,13.1,Connecticut
1974,15.1,New Jersey
1974,19.6,California
1974,23.9,Florida
1974,14.5,Ohio
1974,17.5,New York
1974,15.1,Indiana
1974,15.86,National
1975,14.7,Ohio
1975,14.7,Pennsylvania
1975,18.8,California
1975,15.3,New Jersey
1975,15.7,Illinois
1975,18,New York
1975,14.8,Indiana
1975,12.9,Connecticut
1975,24,Florida
1975,14.71,National
1975,23.7,Texas
1976,28.5,Mississippi
1976,11.9,Massachusetts
1976,15.7,Nevada
1976,14.1,National
1976,17.3,Montana
1976,21.1,Georgia
1976,15.4,Pennsylvania
1976,18.5,Washington
1976,20.9,North Carolina
1976,19.4,Utah
1976,12,Maryland
1976,19.4,Alaska
1976,11.8,Hawaii
1976,18.3,New York
1976,19.3,Maine
1976,15.4,Indiana
1976,12.4,Connecticut
1976,21.7,South Dakota
1976,15.3,New Jersey
1976,18.6,Wyoming
1976,25.4,New Mexico
1976,26.9,Louisiana
1976,21,Kentucky
1976,14.7,Ohio
1976,16.4,Virginia
1976,18.4,Kansas
1976,11.3,Delaware
1976,18.2,Colorado
1976,17.4,Vermont
1976,18.8,Oklahoma
1976,25.1,North Dakota
1976,14,Michigan
1976,18.5,West Virginia
1976,20.4,Missouri
1976,18.1,Nebraska
1976,29.3,Arkansas
1976,23.3,Texas
1976,15.6,New Hampshire
1976,24.2,Florida
1976,15.9,Illinois
1976,22.4,South Carolina
1976,25.8,Alabama
1976,15.7,Minnesota
1976,24.9,Tennessee
1976,19,Oregon
1976,27.72,Arizona
1976,13.3,Wisconsin
1976,17.1,Iowa
1976,12.9,Rhode Island
1976,18.9,Idaho
1976,18.4,California
1977,12.8,Hawaii
1977,11.9,Maryland
1977,17.9,Washington
1977,20.7,Georgia
1977,18.1,Montana
1977,13.92,National
1977,25.8,Louisiana
1977,14.6,Ohio
1977,18.6,Colorado
1977,17.6,Kansas
1977,12.6,Wisconsin
1977,21.9,South Carolina
1977,18,Oklahoma
1977,17.1,Vermont
1977,18,Nebraska
1977,15.9,Illinois
1977,13.4,Michigan
1977,17.8,Oregon
1977,17.8,California
1977,22.4,Texas
1977,12.9,Rhode Island
1977,19.6,West Virginia
1977,15.5,Pennsylvania
1977,15.7,New Hampshire
1977,20.6,North Carolina
1977,15.3,Minnesota
1977,18.6,New York
1977,27.6,Arkansas
1977,15.6,New Jersey
1977,23.8,North Dakota
1977,28.4,Mississippi
1977,10.8,Delaware
1977,16.2,Nevada
1977,20.4,Kentucky
1977,16,Virginia
