year,state,crime_rate
1970 ,National,363.5 
1971 ,National,396.0 
1972 ,National,401.0 
1973 ,National,417.4 
1974 ,National,461.1 
1975 ,National,487.8 
1976 ,National,467.8 
1977 ,National,475.9 
1978 ,National,497.8 
1979 ,National,548.9 
1980 ,National,596.6 
1981 ,National,594.3 
1982 ,National,571.1 
1983 ,National,537.7 
1984 ,National,539.2 
1985 ,National,556.6 
1986 ,National,620.1 
1987 ,National,609.7 
1988 ,National,637.2 
1989 ,National,663.1 
1990 ,National,731.8 
1991 ,National,758.1 
1992 ,National,757.5 
1993 ,National,746.8 
1994 ,National,713.6 
1995 ,National,684.5 
1996 ,National,636.6 
1997 ,National,611.0 
1998 ,National,566.4 
1999 ,National,523
2000 ,National,506.5 
2001,National,504.5
2002 ,National,494.4
2003 ,National,475.8 
2004 ,National,463.2 
2005 ,National,469.0 
2006 ,National,473.6 
2007 ,National,466.9 
2008 ,National,457.5 
2009 ,National,431.9
2010,National,404.5
2011,National,387.1
2012,National,387.8
2013,National,379.1
2014,National,372
2015,National,384.6
2016,National,397.5
2017,National,394.9
2018,National,383.4
2019,National,379.4
1970,Alabama,295.7
1970,Alaska,278.0
1970,Arizona,370.3
1970,Arkansas,222.3
1970,California,474.8
1970,Colorado,356.7
1970,Connecticut,170.4
1970,Delaware,327.5
1970,Florida,498.2
1970,Georgia,304.5
1970,Hawaii,121.8
1970,Idaho,123.3
1970,Illinois,467.9
1970,Indiana,234.6
1970,Iowa,79.3
1970,Kansas,202.8
1970,Kentucky,222.3
1970,Louisiana,413.5
1970,Maine,89.3
1970,Maryland,624.9
1970,Massachusetts,202.9
1970,Michigan,575.7
1970,Minnesota,152.0
1970,Mississippi,179.3
1970,Missouri,405.9
1970,Montana,111.5
1970,Nebraska,184.1
1970,Nevada,398.6
1970,New Hampshire,56.0
1970,New Jersey,287.1
1970,New Mexico,304.4
1970,New York,685.0
1970,North Carolina,370.2
1970,North Dakota,34.2
1970,Ohio,284.3
1970,Oklahoma,202.9
1970,Oregon,256.9
1970,Pennsylvania,220.2
1970,Rhode Island,204.7
1970,South Carolina,286.1
1970,South Dakota,92.5
1970,Tennessee,274.9
1970,Texas,365.3
1970,Utah,137.7
1970,Vermont,74.0
1970,Virginia,302.0
1970,Washington,221.3
1970,West Virginia,123.7
1970,Wisconsin,85.8
1970,Wyoming,113.1
1971,Alabama,311.4
1971,Alaska,355.3
1971,Arizona,400.6
1971,Arkansas,240.7
1971,California,518.6
1971,Colorado,373.6
1971,Connecticut,193.7
1971,Delaware,369.2
1971,Florida,547.9
1971,Georgia,340.9
1971,Hawaii,231.9
1971,Idaho,125.3
1971,Illinois,477.3
1971,Indiana,247.1
1971,Iowa,98.9
1971,Kansas,214.5
1971,Kentucky,235.1
1971,Louisiana,413.1
1971,Maine,90.0
1971,Maryland,621.4
1971,Massachusetts,266.0
