homeownership_rate,state,year
64.5,National,1984
63.9,National,1985
63.8,National,1986
64,National,1987
63.8,National,1988
63.9,National,1989
63.9,National,1990
64.1,National,1991
64.1,National,1992
64,National,1993
64,National,1994
64.7,National,1995
65.4,National,1996
65.7,National,1997
66.3,National,1998
66.8,National,1999
67.4,National,2000
67.8,National,2001
67.9,National,2002
68.3,National,2003
69,National,2004
68.9,National,2005
68.8,National,2006
68.1,National,2007
67.8,National,2008
67.4,National,2009
66.9,National,2010
66.1,National,2011
65.4,National,2012
65.1,National,2013
64.5,National,2014
63.7,National,2015
63.4,National,2016
63.9,National,2017
64.4,National,2018
64.6,National,2019
66.6,National,2020
69.5,Missouri,1984
69.2,Missouri,1985
67.8,Missouri,1986
66.1,Missouri,1987
64.8,Missouri,1988
63.7,Missouri,1989
64,Missouri,1990
64.2,Missouri,1991
65.2,Missouri,1992
66.4,Missouri,1993
68.4,Missouri,1994
69.4,Missouri,1995
70.2,Missouri,1996
70.5,Missouri,1997
70.7,Missouri,1998
72.9,Missouri,1999
74.2,Missouri,2000
74,Missouri,2001
74.8,Missouri,2002
74,Missouri,2003
72.4,Missouri,2004
72.3,Missouri,2005
71.9,Missouri,2006
70.4,Missouri,2007
71.4,Missouri,2008
72,Missouri,2009
71.2,Missouri,2010
71.1,Missouri,2011
70.8,Missouri,2012
71.3,Missouri,2013
70.5,Missouri,2014
68.5,Missouri,2015
66.7,Missouri,2016
67.6,Missouri,2017
69.7,Missouri,2018
69.1,Missouri,2019
71.1,Missouri,2020
66.9,Vermont,1984
69.5,Vermont,1985
69.8,Vermont,1986
70.5,Vermont,1987
68.7,Vermont,1988
69.7,Vermont,1989
72.6,Vermont,1990
70.8,Vermont,1991
70.8,Vermont,1992
68.5,Vermont,1993
69.4,Vermont,1994
70.4,Vermont,1995
70.3,Vermont,1996
69.1,Vermont,1997
69.1,Vermont,1998
69.1,Vermont,1999
68.7,Vermont,2000
69.8,Vermont,2001
70.3,Vermont,2002
71.4,Vermont,2003
72,Vermont,2004
74.2,Vermont,2005
74,Vermont,2006
73.7,Vermont,2007
72.8,Vermont,2008
74.3,Vermont,2009
73.6,Vermont,2010
74.6,Vermont,2011
73.4,Vermont,2012
73,Vermont,2013
73.5,Vermont,2014
71.8,Vermont,2015
71.3,Vermont,2016
71.1,Vermont,2017
71.4,Vermont,2018
70.9,Vermont,2019
73.1,Vermont,2020
67.8,Connecticut,1984
69,Connecticut,1985
68.1,Connecticut,1986
67,Connecticut,1987
66.5,Connecticut,1988
66.4,Connecticut,1989
67.9,Connecticut,1990
65.5,Connecticut,1991
66.1,Connecticut,1992
64.5,Connecticut,1993
63.8,Connecticut,1994
68.2,Connecticut,1995
69,Connecticut,1996
68.1,Connecticut,1997
69.3,Connecticut,1998
69.1,Connecticut,1999
70,Connecticut,2000
71.8,Connecticut,2001
71.5,Connecticut,2002
73,Connecticut,2003
71.7,Connecticut,2004
70.5,Connecticut,2005
71.1,Connecticut,2006
70.3,Connecticut,2007
70.7,Connecticut,2008
70.5,Connecticut,2009
70.8,Connecticut,2010
70.6,Connecticut,2011
68.8,Connecticut,2012
68.5,Connecticut,2013
67.4,Connecticut,2014
66.5,Connecticut,2015
64.2,Connecticut,2016
66.1,Connecticut,2017
65.3,Connecticut,2018
64.3,Connecticut,2019
66.9,Connecticut,2020
65.7,Washington,1984
66.8,Washington,1985
65.1,Washington,1986
64.4,Washington,1987
64.2,Washington,1988
64.2,Washington,1989
61.8,Washington,1990
61.8,Washington,1991
62.5,Washington,1992
63.1,Washington,1993
62.4,Washington,1994
61.6,Washington,1995
63.1,Washington,1996
62.9,Washington,1997
64.9,Washington,1998
64.8,Washington,1999
63.6,Washington,2000
66.4,Washington,2001
66.9,Washington,2002
65.9,Washington,2003
66,Washington,2004
67.6,Washington,2005
66.7,Washington,2006
66.8,Washington,2007
66.2,Washington,2008
65.5,Washington,2009
64.4,Washington,2010
64.2,Washington,2011
63.5,Washington,2012
62.7,Washington,2013
63.6,Washington,2014
62.6,Washington,2015
61.6,Washington,2016
63.6,Washington,2017
64.9,Washington,2018
63.8,Washington,2019
64.1,Washington,2020
53.7,California,1984
54.2,California,1985
53.8,California,1986
54.3,California,1987
54.4,California,1988
53.6,California,1989
53.8,California,1990
54.5,California,1991
55.3,California,1992
56,California,1993
55.5,California,1994
55.4,California,1995
55,California,1996
55.7,California,1997
56,California,1998
55.7,California,1999
57.1,California,2000
58.2,California,2001
57.7,California,2002
58.9,California,2003
59.7,California,2004
59.7,California,2005
60.2,California,2006
58.3,California,2007
57.5,California,2008
57,California,2009
56.1,California,2010
55.3,California,2011
54.5,California,2012
54.3,California,2013
54.2,California,2014
54.3,California,2015
53.8,California,2016
54.4,California,2017
55.1,California,2018
54.8,California,2019
55.9,California,2020
72.6,Minnesota,1984
70,Minnesota,1985
68,Minnesota,1986
68.9,Minnesota,1987
69.1,Minnesota,1988
68.3,Minnesota,1989
68,Minnesota,1990
68.9,Minnesota,1991
66.7,Minnesota,1992
65.8,Minnesota,1993
68.9,Minnesota,1994
73.3,Minnesota,1995
75.4,Minnesota,1996
75.4,Minnesota,1997
75.4,Minnesota,1998
76.1,Minnesota,1999
76.1,Minnesota,2000
76.1,Minnesota,2001
77.3,Minnesota,2002
77.2,Minnesota,2003
76.4,Minnesota,2004
76.5,Minnesota,2005
75.6,Minnesota,2006
73.5,Minnesota,2007
73.1,Minnesota,2008
72.9,Minnesota,2009
72.6,Minnesota,2010
71.3,Minnesota,2011
72,Minnesota,2012
73.4,Minnesota,2013
71.4,Minnesota,2014
70.1,Minnesota,2015
72.4,Minnesota,2016
72.7,Minnesota,2017
69.8,Minnesota,2018
71.4,Minnesota,2019
74.5,Minnesota,2020
70.1,North Dakota,1984
69.9,North Dakota,1985
69.2,North Dakota,1986
68.9,North Dakota,1987
67.7,North Dakota,1988
67.1,North Dakota,1989
67.2,North Dakota,1990
65.4,North Dakota,1991
63.7,North Dakota,1992
62.7,North Dakota,1993
63.3,North Dakota,1994
67.3,North Dakota,1995
68.2,North Dakota,1996
68.1,North Dakota,1997
68,North Dakota,1998
70.1,North Dakota,1999
70.7,North Dakota,2000
71,North Dakota,2001
69.4,North Dakota,2002
68.7,North Dakota,2003
70,North Dakota,2004
68.5,North Dakota,2005
68.3,North Dakota,2006
66,North Dakota,2007
66.6,North Dakota,2008
65.7,North Dakota,2009
67.1,North Dakota,2010
68.3,North Dakota,2011
66.2,North Dakota,2012
68,North Dakota,2013
64.5,North Dakota,2014
61.8,North Dakota,2015
61.4,North Dakota,2016
62.6,North Dakota,2017
61.9,North Dakota,2018
61.4,North Dakota,2019
64.2,North Dakota,2020
72.7,Michigan,1984
70.7,Michigan,1985
70.9,Michigan,1986
71.7,Michigan,1987
72.5,Michigan,1988
73.2,Michigan,1989
72.3,Michigan,1990
70.6,Michigan,1991
70.6,Michigan,1992
72.3,Michigan,1993
72,Michigan,1994
72.2,Michigan,1995
73.3,Michigan,1996
73.3,Michigan,1997
74.4,Michigan,1998
76.5,Michigan,1999
77.2,Michigan,2000
77.1,Michigan,2001
76,Michigan,2002
75.6,Michigan,2003
77.1,Michigan,2004
76.4,Michigan,2005
77.4,Michigan,2006
76.4,Michigan,2007
75.9,Michigan,2008
74.5,Michigan,2009
74.5,Michigan,2010
74.1,Michigan,2011
74.8,Michigan,2012
73.9,Michigan,2013
73.8,Michigan,2014
74.6,Michigan,2015
72.8,Michigan,2016
72.9,Michigan,2017
73,Michigan,2018
73,Michigan,2019
74.3,Michigan,2020
62.5,Texas,1984
60.5,Texas,1985
61,Texas,1986
61.1,Texas,1987
59.9,Texas,1988
61,Texas,1989
59.7,Texas,1990
59,Texas,1991
58.3,Texas,1992
58.7,Texas,1993
59.7,Texas,1994
61.4,Texas,1995
61.8,Texas,1996
61.5,Texas,1997
62.5,Texas,1998
62.9,Texas,1999
63.8,Texas,2000
63.9,Texas,2001
63.4,Texas,2002
64.5,Texas,2003
65.5,Texas,2004
65.9,Texas,2005
66,Texas,2006
66,Texas,2007
65.5,Texas,2008
65.4,Texas,2009
65.3,Texas,2010
64.3,Texas,2011
64.3,Texas,2012
63.3,Texas,2013
62.2,Texas,2014
61.9,Texas,2015
61.5,Texas,2016
61.7,Texas,2017
62.7,Texas,2018
62.4,Texas,2019
66.5,Texas,2020
70.4,Delaware,1984
70.3,Delaware,1985
71,Delaware,1986
71.1,Delaware,1987
70.1,Delaware,1988
68.7,Delaware,1989
67.7,Delaware,1990
70.2,Delaware,1991
73.8,Delaware,1992
74.1,Delaware,1993
70.5,Delaware,1994
71.7,Delaware,1995
71.5,Delaware,1996
69.2,Delaware,1997
71,Delaware,1998
71.6,Delaware,1999
72,Delaware,2000
75.4,Delaware,2001
75.6,Delaware,2002
77.2,Delaware,2003
77.3,Delaware,2004
75.8,Delaware,2005
76.8,Delaware,2006
76.8,Delaware,2007
76.2,Delaware,2008
76.5,Delaware,2009
74.7,Delaware,2010
74.2,Delaware,2011
73.4,Delaware,2012
74.1,Delaware,2013
74.3,Delaware,2014
73.3,Delaware,2015
73,Delaware,2016
70,Delaware,2017
70.8,Delaware,2018
73.1,Delaware,2019
77.9,Delaware,2020
67.7,Ohio,1984
67.9,Ohio,1985
68.2,Ohio,1986
68.6,Ohio,1987
69.6,Ohio,1988
69.6,Ohio,1989
68.7,Ohio,1990
68.7,Ohio,1991
69.1,Ohio,1992
68.5,Ohio,1993
67.4,Ohio,1994
67.9,Ohio,1995
69.2,Ohio,1996
69,Ohio,1997
70.7,Ohio,1998
70.7,Ohio,1999
71.3,Ohio,2000
71.2,Ohio,2001
72.1,Ohio,2002
72.8,Ohio,2003
73.1,Ohio,2004
73.3,Ohio,2005
72.1,Ohio,2006
71.4,Ohio,2007
70.8,Ohio,2008
69.7,Ohio,2009
69.7,Ohio,2010
68.9,Ohio,2011
67.9,Ohio,2012
67.9,Ohio,2013
67.3,Ohio,2014
66.4,Ohio,2015
66.1,Ohio,2016
66,Ohio,2017
67.3,Ohio,2018
68.2,Ohio,2019
69.4,Ohio,2020
71.1,Pennsylvania,1984
71.6,Pennsylvania,1985
72.3,Pennsylvania,1986
71.8,Pennsylvania,1987
72.1,Pennsylvania,1988
72.8,Pennsylvania,1989
73.8,Pennsylvania,1990
74,Pennsylvania,1991
73.1,Pennsylvania,1992
72,Pennsylvania,1993
71.8,Pennsylvania,1994
71.5,Pennsylvania,1995
71.7,Pennsylvania,1996
73.3,Pennsylvania,1997
73.9,Pennsylvania,1998
75.2,Pennsylvania,1999
74.7,Pennsylvania,2000
74.3,Pennsylvania,2001
74,Pennsylvania,2002
73.7,Pennsylvania,2003
74.9,Pennsylvania,2004
73.3,Pennsylvania,2005
73.2,Pennsylvania,2006
72.9,Pennsylvania,2007
72.6,Pennsylvania,2008
72.2,Pennsylvania,2009
72.2,Pennsylvania,2010
71.1,Pennsylvania,2011
71,Pennsylvania,2012
71.5,Pennsylvania,2013
69.7,Pennsylvania,2014
69.6,Pennsylvania,2015
68.5,Pennsylvania,2016
68.6,Pennsylvania,2017
69.9,Pennsylvania,2018
69.2,Pennsylvania,2019
69.9,Pennsylvania,2020
73.7,Alabama,1984
70.4,Alabama,1985
70.3,Alabama,1986
67.9,Alabama,1987
66.5,Alabama,1988
67.6,Alabama,1989
68.4,Alabama,1990
69.9,Alabama,1991
70.3,Alabama,1992
70.2,Alabama,1993
68.5,Alabama,1994
70.1,Alabama,1995
71,Alabama,1996
71.3,Alabama,1997
72.9,Alabama,1998
74.8,Alabama,1999
73.2,Alabama,2000
73.2,Alabama,2001
73.7,Alabama,2002
76.2,Alabama,2003
78,Alabama,2004
76.6,Alabama,2005
74.2,Alabama,2006
73.3,Alabama,2007
73,Alabama,2008
74.1,Alabama,2009
73.2,Alabama,2010
72.9,Alabama,2011
71.9,Alabama,2012
72.7,Alabama,2013
72.1,Alabama,2014
70,Alabama,2015
69.7,Alabama,2016
70,Alabama,2017
70.3,Alabama,2018
70.7,Alabama,2019
74.8,Alabama,2020
68.3,Virginia,1984
68.5,Virginia,1985
68.2,Virginia,1986
69,Virginia,1987
69.8,Virginia,1988
70.2,Virginia,1989
69.8,Virginia,1990
68.9,Virginia,1991
67.8,Virginia,1992
68.5,Virginia,1993
69.3,Virginia,1994
68.1,Virginia,1995
68.5,Virginia,1996
68.4,Virginia,1997
69.4,Virginia,1998
71.2,Virginia,1999
73.9,Virginia,2000
75.1,Virginia,2001
74.4,Virginia,2002
75,Virginia,2003
73.4,Virginia,2004
71.2,Virginia,2005
71.1,Virginia,2006
71.5,Virginia,2007
70.6,Virginia,2008
69.7,Virginia,2009
68.7,Virginia,2010
67.9,Virginia,2011
67.8,Virginia,2012
68.1,Virginia,2013
68.7,Virginia,2014
67.1,Virginia,2015
66.3,Virginia,2016
67.5,Virginia,2017
66,Virginia,2018
67.6,Virginia,2019
70.4,Virginia,2020
70.1,Louisiana,1984
70.2,Louisiana,1985
70.4,Louisiana,1986
71,Louisiana,1987
68.5,Louisiana,1988
66.3,Louisiana,1989
67.8,Louisiana,1990
68.9,Louisiana,1991
66.7,Louisiana,1992
65.4,Louisiana,1993
65.8,Louisiana,1994
65.3,Louisiana,1995
64.9,Louisiana,1996
66.4,Louisiana,1997
66.6,Louisiana,1998
66.8,Louisiana,1999
68.1,Louisiana,2000
67.1,Louisiana,2001
67.4,Louisiana,2002
67.5,Louisiana,2003
70.6,Louisiana,2004
72.5,Louisiana,2005
71.3,Louisiana,2006
71.5,Louisiana,2007
73.5,Louisiana,2008
71.9,Louisiana,2009
70.4,Louisiana,2010
70.1,Louisiana,2011
68.7,Louisiana,2012
67.8,Louisiana,2013
65.3,Louisiana,2014
63.3,Louisiana,2015
64.2,Louisiana,2016
66.1,Louisiana,2017
65.7,Louisiana,2018
65.6,Louisiana,2019
69.1,Louisiana,2020
67.6,Tennessee,1984
67.6,Tennessee,1985
67.4,Tennessee,1986
67.2,Tennessee,1987
66.9,Tennessee,1988
67.3,Tennessee,1989
68.3,Tennessee,1990
68,Tennessee,1991
67.4,Tennessee,1992
64.1,Tennessee,1993
65.2,Tennessee,1994
67,Tennessee,1995
68.8,Tennessee,1996
70.2,Tennessee,1997
71.3,Tennessee,1998
71.9,Tennessee,1999
70.9,Tennessee,2000
69.7,Tennessee,2001
70.3,Tennessee,2002
70.8,Tennessee,2003
71.6,Tennessee,2004
72.4,Tennessee,2005
71.3,Tennessee,2006
70.2,Tennessee,2007
71.7,Tennessee,2008
71.1,Tennessee,2009
71,Tennessee,2010
69.3,Tennessee,2011
67.9,Tennessee,2012
66.8,Tennessee,2013
66.7,Tennessee,2014
66.5,Tennessee,2015
66.4,Tennessee,2016
67.2,Tennessee,2017
68,Tennessee,2018
68.8,Tennessee,2019
70,Tennessee,2020
66.4,Montana,1984
66.5,Montana,1985
64.4,Montana,1986
65,Montana,1987
65.4,Montana,1988
67.9,Montana,1989
69.1,Montana,1990
69.6,Montana,1991
69.9,Montana,1992
69.7,Montana,1993
68.8,Montana,1994
68.7,Montana,1995
68.6,Montana,1996
67.5,Montana,1997
68.6,Montana,1998
70.6,Montana,1999
70.2,Montana,2000
68.3,Montana,2001
69.4,Montana,2002
71.5,Montana,2003
72.4,Montana,2004
70.4,Montana,2005
69.5,Montana,2006
67.3,Montana,2007
70.3,Montana,2008
70.7,Montana,2009
68.1,Montana,2010
68.4,Montana,2011
67.8,Montana,2012
67.4,Montana,2013
66.9,Montana,2014
66.4,Montana,2015
67.1,Montana,2016
67.6,Montana,2017
67.4,Montana,2018
68.7,Montana,2019
68.4,Montana,2020
65.2,Arizona,1984
64.7,Arizona,1985
62.5,Arizona,1986
63.3,Arizona,1987
66.1,Arizona,1988
63.9,Arizona,1989
64.5,Arizona,1990
66.3,Arizona,1991
69.3,Arizona,1992
69.1,Arizona,1993
67.7,Arizona,1994
62.9,Arizona,1995
62,Arizona,1996
63,Arizona,1997
64.3,Arizona,1998
66.3,Arizona,1999
68,Arizona,2000
68.1,Arizona,2001
65.6,Arizona,2002
67,Arizona,2003
68.7,Arizona,2004
71.1,Arizona,2005
71.6,Arizona,2006
70.4,Arizona,2007
69.1,Arizona,2008
68.9,Arizona,2009
66.6,Arizona,2010
66,Arizona,2011
65.3,Arizona,2012
65.1,Arizona,2013
63.5,Arizona,2014
61.7,Arizona,2015
61.9,Arizona,2016
64.4,Arizona,2017
65.7,Arizona,2018
65.8,Arizona,2019
68.7,Arizona,2020
69.9,Utah,1984
71.5,Utah,1985
68,Utah,1986
69,Utah,1987
70.2,Utah,1988
70.4,Utah,1989
70.1,Utah,1990
70.7,Utah,1991
70,Utah,1992
68.9,Utah,1993
69.3,Utah,1994
71.5,Utah,1995
72.7,Utah,1996
72.5,Utah,1997
73.7,Utah,1998
74.7,Utah,1999
72.7,Utah,2000
72.4,Utah,2001
72.8,Utah,2002
73.4,Utah,2003
74.9,Utah,2004
73.9,Utah,2005
73.5,Utah,2006
74.9,Utah,2007
76.2,Utah,2008
74.1,Utah,2009
72.5,Utah,2010
71.4,Utah,2011
71.1,Utah,2012
70.9,Utah,2013
70.9,Utah,2014
69.9,Utah,2015
71.3,Utah,2016
71,Utah,2017
72.2,Utah,2018
71.9,Utah,2019
71.7,Utah,2020
63.4,New Jersey,1984
62.3,New Jersey,1985
63.3,New Jersey,1986
64,New Jersey,1987
64.8,New Jersey,1988
65.7,New Jersey,1989
65,New Jersey,1990
64.8,New Jersey,1991
64.6,New Jersey,1992
64.5,New Jersey,1993
64.1,New Jersey,1994
64.9,New Jersey,1995
64.6,New Jersey,1996
63.1,New Jersey,1997
63.1,New Jersey,1998
64.5,New Jersey,1999
66.2,New Jersey,2000
66.5,New Jersey,2001
66.9,New Jersey,2002
66.9,New Jersey,2003
68.8,New Jersey,2004
70.1,New Jersey,2005
69,New Jersey,2006
68.3,New Jersey,2007
67.3,New Jersey,2008
65.9,New Jersey,2009
66.5,New Jersey,2010
66.4,New Jersey,2011
66.6,New Jersey,2012
64.9,New Jersey,2013
65.2,New Jersey,2014
64,New Jersey,2015
62.2,New Jersey,2016
64.1,New Jersey,2017
65,New Jersey,2018
65,New Jersey,2019
64.3,New Jersey,2020
67.1,New Hampshire,1984
65.5,New Hampshire,1985
64.8,New Hampshire,1986
66.4,New Hampshire,1987
67.9,New Hampshire,1988
67,New Hampshire,1989
65,New Hampshire,1990
66.8,New Hampshire,1991
66.6,New Hampshire,1992
65.4,New Hampshire,1993
65.1,New Hampshire,1994
66,New Hampshire,1995
65,New Hampshire,1996
66.8,New Hampshire,1997
69.6,New Hampshire,1998
70.2,New Hampshire,1999
69.2,New Hampshire,2000
68.4,New Hampshire,2001
69.5,New Hampshire,2002
74.4,New Hampshire,2003
73.3,New Hampshire,2004
74,New Hampshire,2005
74.2,New Hampshire,2006
73.8,New Hampshire,2007
75,New Hampshire,2008
76,New Hampshire,2009
74.9,New Hampshire,2010
74.1,New Hampshire,2011
74.8,New Hampshire,2012
74.1,New Hampshire,2013
72.2,New Hampshire,2014
71.6,New Hampshire,2015
71.8,New Hampshire,2016
71.6,New Hampshire,2017
73.4,New Hampshire,2018
75,New Hampshire,2019
74.5,New Hampshire,2020
57.6,Alaska,1984
61.2,Alaska,1985
61.5,Alaska,1986
59.7,Alaska,1987
57,Alaska,1988
58.7,Alaska,1989
58.4,Alaska,1990
57.1,Alaska,1991
55.5,Alaska,1992
55.4,Alaska,1993
58.8,Alaska,1994
60.9,Alaska,1995
62.9,Alaska,1996
67.2,Alaska,1997
66.3,Alaska,1998
66.4,Alaska,1999
66.4,Alaska,2000
65.3,Alaska,2001
67.1,Alaska,2002
70,Alaska,2003
67.2,Alaska,2004
66,Alaska,2005
67.2,Alaska,2006
66.6,Alaska,2007
66.4,Alaska,2008
66.8,Alaska,2009
65.7,Alaska,2010
64.4,Alaska,2011
