year,state,minimum_wage_effective,minimum_wage_2020_nominal,CPI_Average
1968,Alabama,1.15,8.55,34.801
1968,Alaska,2.1,15.61,34.8
1968,Arizona,1.15,8.55,34.8
1968,Arkansas,1.15,8.55,34.8
1968,California,1.65,12.26,34.8
1968,Colorado,1.15,8.55,34.8
1968,Connecticut,1.4,10.41,34.8
1968,Delaware,1.25,9.29,34.8
1968,District of Columbia,1.25,9.29,34.8
1968,Florida,1.15,8.55,34.8
1968,Georgia,1.15,8.55,34.8
1968,Guam,1.25,9.29,34.8
1968,Hawaii,1.25,9.29,34.8
1968,Idaho,1.15,8.55,34.8
1968,Illinois,1.15,8.55,34.8
1968,Indiana,1.15,8.55,34.8
1968,Iowa,1.15,8.55,34.8
1968,Kansas,1.15,8.55,34.8
1968,Kentucky,1.15,8.55,34.8
1968,Louisiana,1.15,8.55,34.8
1968,Maine,1.4,10.41,34.8
1968,Maryland,1.15,8.55,34.8
1968,Massachusetts,1.6,11.89,34.8
1968,Michigan,1.25,9.29,34.8
1968,Minnesota,1.15,8.55,34.8
1968,Mississippi,1.15,8.55,34.8
1968,Missouri,1.15,8.55,34.8
1968,Montana,1.15,8.55,34.8
1968,Nebraska,1.15,8.55,34.8
1968,Nevada,1.25,9.29,34.8
1968,New Hampshire,1.4,10.41,34.8
1968,New Jersey,1.4,10.41,34.8
1968,New Mexico,1.15,8.55,34.8
1968,New York,1.6,11.89,34.8
1968,North Carolina,1.15,8.55,34.8
1968,North Dakota,1.15,8.55,34.8
1968,Ohio,1.15,8.55,34.8
1968,Oklahoma,1.15,8.55,34.8
1968,Oregon,1.25,9.29,34.8
1968,Pennsylvania,1.15,8.55,34.8
1968,Puerto Rico,1.15,8.55,34.8
1968,Rhode Island,1.4,10.41,34.8
1968,South Carolina,1.15,8.55,34.8
1968,South Dakota,1.15,8.55,34.8
1968,Tennessee,1.15,8.55,34.8
1968,Texas,1.15,8.55,34.8
1968,U.S. Virgin Islands,1.15,8.55,34.8
1968,Utah,1.15,8.55,34.8
1968,Vermont,1.4,10.41,34.8
1968,Virginia,1.15,8.55,34.8
1968,Washington,1.6,11.89,34.8
1968,West Virginia,1.15,8.55,34.8
1968,Wisconsin,1.25,9.29,34.8
1968,Wyoming,1.2,8.92,34.8
1969,Alabama,1.15,8.11,36.7
1969,Alaska,2.1,14.8,36.7
1969,Arizona,1.15,8.11,36.7
1969,Arkansas,1.15,8.11,36.7
1969,California,1.65,11.63,36.7
1969,Colorado,1.15,8.11,36.7
1969,Connecticut,1.4,9.87,36.7
1969,Delaware,1.25,8.81,36.7
1969,District of Columbia,1.25,8.81,36.7
1969,Florida,1.15,8.11,36.7
1969,Georgia,1.15,8.11,36.7
1969,Guam,1.25,8.81,36.7
1969,Hawaii,1.25,8.81,36.7
1969,Idaho,1.15,8.11,36.7
1969,Illinois,1.15,8.11,36.7
1969,Indiana,1.15,8.11,36.7
1969,Iowa,1.15,8.11,36.7
1969,Kansas,1.15,8.11,36.7
1969,Kentucky,1.15,8.11,36.7
1969,Louisiana,1.15,8.11,36.7
1969,Maine,1.4,9.87,36.7
1969,Maryland,1.15,8.11,36.7
1969,Massachusetts,1.6,11.28,36.7
1969,Michigan,1.25,8.81,36.7
1969,Minnesota,1.15,8.11,36.7
1969,Mississippi,1.15,8.11,36.7
1969,Missouri,1.15,8.11,36.7
1969,Montana,1.15,8.11,36.7
1969,Nebraska,1.15,8.11,36.7
1969,Nevada,1.25,8.81,36.7
1969,New Hampshire,1.4,9.87,36.7
1969,New Jersey,1.4,9.87,36.7
1969,New Mexico,1.15,8.11,36.7
1969,New York,1.6,11.28,36.7
1969,North Carolina,1.15,8.11,36.7
1969,North Dakota,1.15,8.11,36.7
1969,Ohio,1.15,8.11,36.7
1969,Oklahoma,1.15,8.11,36.7
1969,Oregon,1.25,8.81,36.7
1969,Pennsylvania,1.15,8.11,36.7
1969,Puerto Rico,1.15,8.11,36.7
1969,Rhode Island,1.4,9.87,36.7
1969,South Carolina,1.15,8.11,36.7
1969,South Dakota,1.15,8.11,36.7
1969,Tennessee,1.15,8.11,36.7
1969,Texas,1.15,8.11,36.7
1969,U.S. Virgin Islands,1.15,8.11,36.7
1969,Utah,1.15,8.11,36.7
1969,Vermont,1.4,9.87,36.7
1969,Virginia,1.15,8.11,36.7
1969,Washington,1.6,11.28,36.7
1969,West Virginia,1.15,8.11,36.7
1969,Wisconsin,1.25,8.81,36.7
1969,Wyoming,1.2,8.46,36.7
1970,Alabama,1.3,8.67,38.8
1970,Alaska,2.1,14,38.8
1970,Arizona,1.3,8.67,38.8
1970,Arkansas,1.3,8.67,38.8
1970,California,1.65,11,38.8
1970,Colorado,1.3,8.67,38.8
1970,Connecticut,1.6,10.67,38.8
1970,Delaware,1.3,8.67,38.8
1970,District of Columbia,1.6,10.67,38.8
1970,Florida,1.3,8.67,38.8
1970,Georgia,1.3,8.67,38.8
1970,Guam,1.6,10.67,38.8
1970,Hawaii,1.6,10.67,38.8
1970,Idaho,1.3,8.67,38.8
1970,Illinois,1.3,8.67,38.8
1970,Indiana,1.3,8.67,38.8
1970,Iowa,1.3,8.67,38.8
1970,Kansas,1.3,8.67,38.8
