year,poverty_rate,state
1967,20.10,Indiana
1967,17.30,New Jersey
1967,22.00,Connecticut
1967,28.40,Texas
1967,33.00,Florida
1967,19.40,California
1967,18.90,New York
1967,19.80,Pennsylvania
1967,18.56,National
1967,19.50,Ohio
1967,20.20,Illinois
1968,30.80,Florida
1968,18.80,Pennsylvania
1968,19.30,California
1968,18.40,New York
1968,19.30,Illinois
1968,17.20,National
1968,19.90,Connecticut
1968,17.30,New Jersey
1968,18.80,Ohio
1968,18.80,Indiana
1968,27.90,Texas
1969,19.10,Connecticut
1969,28.60,Florida
1969,17.80,Pennsylvania
1969,27.50,Texas
1969,18.00,Ohio
1969,18.60,Illinois
1969,19.70,California
1969,17.00,New Jersey
1969,17.90,New York
1969,16.78,National
1969,18.10,Indiana
1970,19.90,California
1970,26.40,Florida
1970,16.80,Ohio
1970,26.80,Texas
1970,16.90,Indiana
1970,17.50,Illinois
1970,16.90,Pennsylvania
1970,17.18,National
1970,17.50,New York
1970,16.30,New Jersey
1970,17.60,Connecticut
1971,26.10,Texas
1971,15.90,Indiana
1971,15.30,Pennsylvania
1971,19.90,California
1971,16.00,New Jersey
1971,17.05,National
1971,16.60,Illinois
1971,24.70,Florida
1971,15.80,Ohio
1971,15.50,Connecticut
1971,17.10,New York
1972,15.20,Connecticut
1972,26.00,Texas
1972,15.20,Ohio
1972,24.60,Florida
1972,15.50,Indiana
1972,16.12,National
1972,17.20,New York
1972,14.80,Pennsylvania
1972,15.70,New Jersey
1972,16.30,Illinois
1972,20.40,California
1973,20.50,California
1973,15.70,Illinois
1973,25.00,Texas
1973,24.20,Florida
1973,15.40,Indiana
1973,15.13,National
1973,17.40,New York
1973,15.40,New Jersey
1973,14.30,Pennsylvania
1973,14.80,Ohio
1973,14.40,Connecticut
1974,15.70,Illinois
1974,14.40,Pennsylvania
1974,24.40,Texas
1974,13.10,Connecticut
1974,15.10,New Jersey
1974,19.60,California
1974,23.90,Florida
1974,14.50,Ohio
