year,state,population_million,education_million,welfare_million
1970,National,203.302,56456.0,18738.8
1971,National,205.515,63469.0,27364.3
1972,National,207.752,71351.0,30594.3
1973,National,210.013,75849.0,28944.9
1974,National,212.299,81440.0,34816.4
1975,National,214.609,95842.0,55205.4
1976,National,216.945,107290.0,72155.2
1977,National,219.307,115893.0,83417.8
1978,National,221.694,128541.0,81037.9
1979,National,224.107,140169.0,83691.3
1980,National,226.546,153686.0,108251.7
1981,National,228.67,166439.0,129079.3
1982,National,230.815,170018.0,137931.7
1983,National,232.979,179305.0,159777.2
1984,National,235.164,191925.0,143711.9
1985,National,237.369,209227.0,165441.6
1986,National,239.595,227705.0,159050.4
1987,National,241.842,242694.0,167313.2
1988,National,244.11,260024.0,176861.6
1989,National,246.399,284252.5,179545.5
1990,National,248.71,309002.0,205081.2
1991,National,251.802,332945.0,250929.7
1992,National,254.933,353841.6,203808.8
1993,National,258.103,375314.5,216622.1
1994,National,261.312,380451.1,211350.9
1995,National,264.561,412780.3,222825.7
1996,National,267.85,431216.6,222299.4
1997,National,271.18,452465.7,220984.0
1998,National,274.552,485550.0,210825.1
1999,National,277.966,517828.5,216546.7
2000,National,282.172,556950.5,220691.0
2001,National,285.082,596915.5,249071.9
2002,National,287.804,642150.1,298278.9
2003,National,290.326,678354.3,340127.6
2004,National,293.046,712328.8,318446.2
2005,National,295.753,751601.1,314463.3
2006,National,298.593,812315.0,320286.9
2007,National,301.58,832024.0,331111.1
2008,National,304.375,884101.9,401656.8
2009,National,307.007,883819.0,525886.7
2010,National,309.327,920501.6,670696.9
2011,National,311.583,903331.4,633424.8
2012,National,313.878,921677.9,561061.8
2013,National,316.06,917142.2,523661.1
2014,National,318.386,963624.8,496001.3
2015,National,320.739,1023467.5,455719.6
2016,National,323.072,1050364.0,457687.9
2017,National,325.122,1121692.3,449773.8
2018,National,326.838,1110427.4,442327.4
2019,National,328.33,1182912.5,464129.9
2020,National,329.484,1310013.1,1201073.3
2021,National,331.823,1340746.0,1803767.2
2022,National,334.146,1318795.5,808412.9
2023,National,336.452,1388833.0,660670.1
2024,National,338.74,1420674.6,678419.9
2025,National,340.975,1462811.9,709401.9
2026,National,343.192,1533802.4,662848.8
1970,Alabama,3.444,689.8,105.4
1971,Alabama,3.487,756.9,144.0
1972,Alabama,3.53,808.3,196.8
1973,Alabama,3.573,851.2,150.3
1974,Alabama,3.618,974.6,132.5
1975,Alabama,3.662,1183.5,232.6
1976,Alabama,3.707,1355.6,384.3
1977,Alabama,3.753,1486.9,596.1
1978,Alabama,3.8,1675.5,550.9
1979,Alabama,3.846,1878.2,635.9
1980,Alabama,3.894,2010.7,820.1
1981,Alabama,3.908,2170.7,829.9
1982,Alabama,3.923,2407.5,853.8
1983,Alabama,3.937,2595.5,939.8
1984,Alabama,3.952,2624.4,867.0
