year,state,crime_rate,unemployment_rate,divorce_rate_per_1000_people,homeownership_rate,minimum_wage_effective,cpi_average,inflation_rate,avg_wage_index,poverty_rate,education_per_capita,welfare_per_capita
1976,National,467.8,7.786562135616469,5.0,7.79,2.226666666666668,56.900000000000055,5.7,9226.48,14.1,494.5493097328816,332.59674110949777
1977,National,475.9,7.132504802090629,5.1,7.13,2.226666666666668,60.599999999999945,6.5,9779.44,13.92,528.4509842367092,380.3699836302535
1978,National,497.8,6.13419821261611,5.2,6.13,2.226666666666668,65.19999999999995,7.6,10556.03,13.43,579.8127148231346,365.539437242325
1979,National,548.9,5.9238266892661,5.3,5.92,2.910000000000003,72.59999999999995,11.3,11479.46,13.33,625.4556975016399,373.44348904764246
1980,National,596.6,7.255716835664719,5.2,7.26,3.11019607843137,82.40000000000005,13.5,12513.46,14.65,678.3876122288631,477.835406495811
1981,National,594.3,7.74128083040972,5.1444,7.74,3.360196078431369,90.9,10.3,13773.1,15.77,727.8567367822627,564.4785061442253
1982,National,571.1,9.86085724560746,5.0889,9.86,3.360196078431369,96.5,6.1,14531.34,16.54,736.5985746160345,597.5855122067458
1983,National,537.7,9.78047265210102,5.0333,9.78,3.360196078431369,99.60000000000002,3.2,15239.24,16.78,769.6187210006052,685.8008661724876
1984,National,539.2,7.63741221200804,4.9778,7.64,3.360196078431369,103.89999999999998,4.3,16135.07,16.04,816.1325713119355,611.1135207769897
1985,National,556.6,7.30410922644289,4.9222,7.3,3.360196078431369,107.60000000000004,3.5,16822.51,15.72,881.4419743100405,696.9806503797885
1986,National,620.1,7.09687179467939,4.8667,7.1,3.360196078431369,109.60000000000004,1.9,17321.82,15.2,950.3745904547256,663.8302134852563
1987,National,609.7,6.29718894698344,4.8111,6.3,3.360196078431369,113.60000000000007,3.7,18426.51,14.48,1003.5229612722355,691.8285492180845
1988,National,637.2,5.58916115687531,4.7556,5.59,3.4098039215686256,118.30000000000011,4.1,19334.04,14.81,1065.1919216746548,724.5159968866494
1989,National,663.1,5.340557846186631,4.7,5.34,3.4098039215686256,124.0,4.8,20099.55,14.3,1153.6268410180237,728.6778761277441
1990,National,731.8,5.67262840227244,4.7,5.67,3.4098039215686256,130.6999999999999,5.4,21027.98,14.84,1242.4188814281692,824.5796308954203
